coach_id,name
coach_thomas_mitchell,Thomas Mitchell
coach_unknown,Unknown †
coach_william_elcoat,William Elcoat
coach_arthur_kennedy,Arthur Kennedy †
coach_harry_bradshaw,Harry Bradshaw
coach_phil_kelso,Phil Kelso
coach_george_morrell,George Morrell
coach_james_mcewen,James McEwen †
coach_leslie_knighton,Leslie Knighton
coach_herbert_chapman,Herbert Chapman
coach_joe_shaw,Joe Shaw †
coach_george_allison,George Allison
coach_tom_whittaker,Tom Whittaker
coach_jack_crayston,Jack Crayston ‡
coach_george_swindin,George Swindin
coach_billy_wright,Billy Wright
coach_bertie_mee,Bertie Mee ‡
coach_terry_neill,Terry Neill
coach_don_howe,Don Howe ‡
coach_steve_burtenshaw,Steve Burtenshaw †
coach_george_graham,George Graham
coach_stewart_houston,Stewart Houston †
coach_bruce_rioch,Bruce Rioch
coach_pat_rice,Pat Rice †
coach_arsene_wenger,Arsène Wenger
coach_unai_emery,Unai Emery
coach_freddie_ljungberg,Freddie Ljungberg
coach_mikel_arteta,Mikel Arteta
coach_william_edward_barclay_john_mckenna,William Edward Barclay John McKenna
coach_tom_watson,Tom Watson
coach_george_patterson,George Patterson
coach_david_ashworth,David Ashworth
coach_matt_mcqueen,Matt McQueen
coach_george_kay,George Kay
coach_don_welsh,Don Welsh
coach_phil_taylor,Phil Taylor
coach_bill_shankly,Bill Shankly
coach_bob_paisley,Bob Paisley
coach_joe_fagan,Joe Fagan
coach_kenny_dalglish,Kenny Dalglish
coach_ronnie_moran,Ronnie Moran*
coach_graeme_souness,Graeme Souness
coach_roy_evans,Roy Evans
coach_roy_evans_gerard_houllier,Roy Evans Gérard Houllier
coach_gerard_houllier,Gérard Houllier
coach_rafael_benitez,Rafael Benítez
coach_roy_hodgson,Roy Hodgson
coach_brendan_rodgers,Brendan Rodgers
coach_jurgen_klopp,Jürgen Klopp
coach_arne_slot,Arne Slot
coach_george_ramsay,George Ramsay
coach_jimmy_hogan,Jimmy Hogan
coach_eric_houghton,Eric Houghton
coach_joe_mercer,Joe Mercer
coach_ron_saunders,Ron Saunders
coach_tony_barton,Tony Barton
coach_jozef_venglos,Jozef Vengloš
coach_ron_atkinson,Ron Atkinson
coach_brian_little,Brian Little
coach_john_gregory,John Gregory
coach_dean_smith,Dean Smith
coach_1967-1976_division_1_1976-1977_division_2_1977-1982_division_1_1982-1983_division_2_1983-1984_division_1_1984-1985_division_2,1967–1976 Division 1 1976–1977 Division 2 1977–1982 Division 1 1982–1983 Division 2 1983–1984 Division 1 1984–1985 Division 2
coach_syd_king,Syd King
coach_charlie_paynter,Charlie Paynter
coach_ted_fenton,Ted Fenton
coach_ron_greenwood,Ron Greenwood
coach_john_lyall,John Lyall
coach_lou_macari,Lou Macari
coach_nan,nan
coach_billy_bonds,Billy Bonds
coach_harry_redknapp,Harry Redknapp
coach_glenn_roeder,Glenn Roeder
coach_alan_pardew,Alan Pardew
coach_alan_curbishley,Alan Curbishley
coach_gianfranco_zola,Gianfranco Zola
coach_avram_grant,Avram Grant
coach_sam_allardyce,Sam Allardyce
coach_slaven_bilic,Slaven Bilić
coach_david_moyes,David Moyes
coach_manuel_pellegrini,Manuel Pellegrini
coach_julen_lopetegui,Julen Lopetegui
coach_graham_potter,Graham Potter
coach_nuno_espirito_santo,Nuno Espírito Santo
coach_frank_brettell,Frank Brettell
coach_arthur_turner,Arthur Turner
coach_andre_villas-boas,André Villas-Boas
coach_mauricio_pochettino,Mauricio Pochettino
coach_antonio_conte,Antonio Conte
coach_john_cameron,John Cameron
coach_jose_mourinho,José Mourinho
coach_david_pleat,David Pleat
coach_tim_sherwood,Tim Sherwood
coach_bill_nicholson,Bill Nicholson
coach_arthur_rowe,Arthur Rowe
coach_cecil_knight,Cecil Knight
coach_charles_robson,Charles Robson
coach_alfred_mcminn,Alfred McMinn
coach_er_arnfield,Er Arnfield
coach_george_swift,George Swift
coach_jimmy_mcintyre,Jimmy McIntyre
coach_arthur_chadwick,Arthur Chadwick
coach_george_goss,George Goss
coach_tom_parker,Tom Parker
coach_arthur_dominy,Arthur Dominy
coach_bill_dodgin,Bill Dodgin
coach_sid_cann,Sid Cann
coach_george_roughton,George Roughton
coach_ted_bates,Ted Bates
coach_lawrie_mcmenemy,Lawrie McMenemy
coach_chris_nicholl,Chris Nicholl
coach_ian_branfoot,Ian Branfoot
coach_alan_ball,Alan Ball
coach_david_merrington,David Merrington
coach_dave_jones,Dave Jones
coach_glenn_hoddle,Glenn Hoddle
coach_stuart_gray,Stuart Gray
coach_gordon_strachan,Gordon Strachan
coach_steve_wigley,Steve Wigley
coach_paul_sturrock,Paul Sturrock
coach_dave_bassett_dennis_wise,Dave Bassett & Dennis Wise
coach_george_burley,George Burley
coach_john_gorman_jason_dodd,John Gorman & Jason Dodd
coach_nigel_pearson,Nigel Pearson
coach_jan_poortvliet,Jan Poortvliet
coach_mark_wotte,Mark Wotte
coach_dean_wilkins,Dean Wilkins
coach_nigel_adkins,Nigel Adkins
coach_ronald_koeman,Ronald Koeman
coach_claude_puel,Claude Puel
coach_mauricio_pellegrino,Mauricio Pellegrino
coach_mark_hughes,Mark Hughes
coach_kelvin_davis,Kelvin Davis
coach_ralph_hasenhuttl,Ralph Hasenhüttl
coach_ruben_selles,Rubén Sellés
coach_nathan_jones,Nathan Jones
coach_russell_martin,Russell Martin
