player_id,name,nation,position
player_david_raya,David Raya,ESP,GK
player_william_saliba,William Saliba,FRA,DF
player_cristhian_mosquera,Cristhian Mosquera,ESP,DF
player_ben_white,Ben White,ENG,DF
player_piero_hincapie_on_loan_from_bayer_leverkusen,Piero Hincapié (on loan from Bayer Leverkusen),ECU,DF
player_gabriel_magalhaes,Gabriel Magalhães,BRA,DF
player_bukayo_saka,Bukayo Saka,ENG,FW
player_martin_odegaard_captain,Martin Ødegaard (captain),NOR,MF
player_gabriel_jesus,Gabriel Jesus,BRA,FW
player_eberechi_eze,Eberechi Eze,ENG,MF
player_gabriel_martinelli,Gabriel Martinelli,BRA,FW
player_jurrien_timber,Jurriën Timber,NED,DF
player_kepa_arrizabalaga,Kepa Arrizabalaga,ESP,GK
player_viktor_gyokeres,Viktor Gyökeres,SWE,FW
player_christian_norgaard,Christian Nørgaard,DEN,MF
player_leandro_trossard,Leandro Trossard,BEL,FW
player_noni_madueke,Noni Madueke,ENG,FW
player_ethan_nwaneri,Ethan Nwaneri,ENG,MF
player_mikel_merino,Mikel Merino,ESP,MF
player_kai_havertz,Kai Havertz,GER,FW
player_riccardo_calafiori,Riccardo Calafiori,ITA,DF
player_martin_zubimendi,Martín Zubimendi,ESP,MF
player_declan_rice,Declan Rice,ENG,MF
player_myles_lewis_skelly,Myles Lewis-Skelly,ENG,DF
player_alisson_becker,Alisson Becker,BRA,GK
player_joe_gomez,Joe Gomez,ENG,DF
player_wataru_endo,Wataru Endo,JPN,MF
player_virgil_van_dijk_captain,Virgil van Dijk (captain),NED,DF
player_ibrahima_konate,Ibrahima Konaté,FRA,DF
player_milos_kerkez,Milos Kerkez,HUN,DF
player_florian_wirtz,Florian Wirtz,GER,MF
player_dominik_szoboszlai,Dominik Szoboszlai,HUN,MF
player_alexander_isak,Alexander Isak,SWE,FW
player_alexis_mac_allister,Alexis Mac Allister,ARG,MF
player_mohamed_salah,Mohamed Salah,EGY,FW
player_conor_bradley,Conor Bradley,NIR,DF
player_federico_chiesa,Federico Chiesa,ITA,FW
player_giovanni_leoni,Giovanni Leoni,ITA,DF
player_curtis_jones,Curtis Jones,ENG,MF
player_cody_gakpo,Cody Gakpo,NED,FW
player_hugo_ekitike,Hugo Ekitike,FRA,FW
player_giorgi_mamardashvili,Giorgi Mamardashvili,GEO,GK
player_andy_robertson_vice_captain,Andy Robertson (vice-captain),SCO,DF
player_freddie_woodman,Freddie Woodman,ENG,GK
player_jeremie_frimpong,Jeremie Frimpong,NED,DF
